;age;geo;sex;quant_inc;Frequent drinkers;Non-drinkers;Occasional drinkers;clusters
1523;From 25 to 34 years;Norway;Males;Second quintile;17.0;13.0;69.9;3
1524;From 25 to 34 years;Norway;Males;Third quintile;34.5;6.2;59.3;3
1530;From 25 to 34 years;Poland;Females;Fifth quintile;20.6;22.8;56.7;3
1531;From 25 to 34 years;Poland;Females;First quintile;5.6;34.3;60.0;2
1532;From 25 to 34 years;Poland;Females;Fourth quintile;13.8;22.3;63.9;3
1533;From 25 to 34 years;Poland;Females;Second quintile;11.3;28.5;60.3;3
1534;From 25 to 34 years;Poland;Females;Third quintile;12.6;29.9;57.400000000000006;3
1540;From 25 to 34 years;Poland;Males;Fifth quintile;45.9;3.8;50.3;0
1541;From 25 to 34 years;Poland;Males;First quintile;28.700000000000003;11.3;60.0;3
1542;From 25 to 34 years;Poland;Males;Fourth quintile;33.3;5.5;61.2;3
1543;From 25 to 34 years;Poland;Males;Second quintile;34.7;9.3;56.099999999999994;3
1544;From 25 to 34 years;Poland;Males;Third quintile;29.5;11.4;59.1;3
1550;From 25 to 34 years;Portugal;Females;Fifth quintile;13.5;30.6;55.900000000000006;3
1551;From 25 to 34 years;Portugal;Females;First quintile;14.3;43.5;42.1;2
1552;From 25 to 34 years;Portugal;Females;Fourth quintile;16.8;35.2;48.099999999999994;2
1553;From 25 to 34 years;Portugal;Females;Second quintile;17.0;46.5;36.6;2
1554;From 25 to 34 years;Portugal;Females;Third quintile;21.4;36.1;42.5;2
1560;From 25 to 34 years;Portugal;Males;Fifth quintile;54.2;7.8;38.1;0
1561;From 25 to 34 years;Portugal;Males;First quintile;60.7;10.9;28.4;0
1562;From 25 to 34 years;Portugal;Males;Fourth quintile;42.3;8.1;49.5;3
1563;From 25 to 34 years;Portugal;Males;Second quintile;63.3;10.3;26.5;0
1564;From 25 to 34 years;Portugal;Males;Third quintile;47.1;15.5;37.5;0
1570;From 25 to 34 years;Romania;Females;Fifth quintile;5.6;45.2;49.3;2
1571;From 25 to 34 years;Romania;Females;First quintile;6.6;45.6;47.8;2
1572;From 25 to 34 years;Romania;Females;Fourth quintile;4.0;54.0;42.0;2
1573;From 25 to 34 years;Romania;Females;Second quintile;4.4;55.3;40.2;2
1574;From 25 to 34 years;Romania;Females;Third quintile;5.3;50.9;43.8;2
1580;From 25 to 34 years;Romania;Males;Fifth quintile;26.0;17.8;56.199999999999996;3
1581;From 25 to 34 years;Romania;Males;First quintile;50.7;16.3;33.0;0
1582;From 25 to 34 years;Romania;Males;Fourth quintile;30.2;22.3;47.4;3
1583;From 25 to 34 years;Romania;Males;Second quintile;36.8;19.9;43.3;3
1584;From 25 to 34 years;Romania;Males;Third quintile;35.9;17.5;46.6;3
1600;From 25 to 34 years;Slovakia;Females;Fifth quintile;14.0;24.6;61.3;3
1601;From 25 to 34 years;Slovakia;Females;First quintile;7.7;40.2;52.1;2
1602;From 25 to 34 years;Slovakia;Females;Fourth quintile;8.200000000000001;28.9;62.900000000000006;3
1603;From 25 to 34 years;Slovakia;Females;Second quintile;4.9;20.8;74.2;3
1604;From 25 to 34 years;Slovakia;Females;Third quintile;8.9;20.6;70.4;3
1610;From 25 to 34 years;Slovakia;Males;Fifth quintile;33.6;14.9;51.4;3
1611;From 25 to 34 years;Slovakia;Males;First quintile;34.9;17.2;48.0;3
1612;From 25 to 34 years;Slovakia;Males;Fourth quintile;23.2;13.9;63.0;3
1613;From 25 to 34 years;Slovakia;Males;Second quintile;20.3;9.2;70.5;3
1614;From 25 to 34 years;Slovakia;Males;Third quintile;30.3;10.4;59.3;3
1620;From 25 to 34 years;Slovenia;Females;Fifth quintile;35.7;9.7;54.6;3
1621;From 25 to 34 years;Slovenia;Females;First quintile;14.4;30.2;55.4;3
1622;From 25 to 34 years;Slovenia;Females;Fourth quintile;22.4;16.2;61.5;3
1623;From 25 to 34 years;Slovenia;Females;Second quintile;12.9;28.5;58.6;3
1624;From 25 to 34 years;Slovenia;Females;Third quintile;18.4;22.1;59.6;3
1630;From 25 to 34 years;Slovenia;Males;Fifth quintile;49.5;12.2;38.4;0
1631;From 25 to 34 years;Slovenia;Males;First quintile;28.6;19.8;51.6;3
1632;From 25 to 34 years;Slovenia;Males;Fourth quintile;50.599999999999994;3.4;46.1;0
1633;From 25 to 34 years;Slovenia;Males;Second quintile;42.2;15.9;41.900000000000006;0
1634;From 25 to 34 years;Slovenia;Males;Third quintile;53.0;10.6;36.5;0
1640;From 25 to 34 years;Spain;Females;Fifth quintile;37.4;24.9;37.7;0
1641;From 25 to 34 years;Spain;Females;First quintile;16.2;53.5;30.4;2
1642;From 25 to 34 years;Spain;Females;Fourth quintile;28.6;22.4;48.900000000000006;3
1643;From 25 to 34 years;Spain;Females;Second quintile;14.4;33.5;52.1;2
1644;From 25 to 34 years;Spain;Females;Third quintile;19.4;37.9;42.8;2
1650;From 25 to 34 years;Spain;Males;Fifth quintile;58.5;7.2;34.3;0
1651;From 25 to 34 years;Spain;Males;First quintile;30.4;23.9;45.7;3
1652;From 25 to 34 years;Spain;Males;Fourth quintile;46.4;12.7;40.8;0
1653;From 25 to 34 years;Spain;Males;Second quintile;41.3;19.2;39.5;0
1654;From 25 to 34 years;Spain;Males;Third quintile;47.7;16.1;36.1;0
1660;From 25 to 34 years;Sweden;Females;Fifth quintile;25.4;11.4;63.2;3
1661;From 25 to 34 years;Sweden;Females;First quintile;22.3;25.5;52.2;3
1662;From 25 to 34 years;Sweden;Females;Fourth quintile;33.5;11.3;55.1;3
1663;From 25 to 34 years;Sweden;Females;Second quintile;26.0;25.2;48.8;3
1664;From 25 to 34 years;Sweden;Females;Third quintile;24.7;16.7;58.599999999999994;3
1670;From 25 to 34 years;Sweden;Males;Fifth quintile;47.7;11.0;41.3;0
1671;From 25 to 34 years;Sweden;Males;First quintile;27.9;17.7;54.300000000000004;3
1672;From 25 to 34 years;Sweden;Males;Fourth quintile;38.3;5.3;56.4;3
1673;From 25 to 34 years;Sweden;Males;Second quintile;35.4;16.7;47.900000000000006;3
1674;From 25 to 34 years;Sweden;Males;Third quintile;33.2;8.8;58.0;3
1680;From 25 to 34 years;Türkiye;Females;Fifth quintile;2.4;81.6;16.0;1
1681;From 25 to 34 years;Türkiye;Females;First quintile;0.7;95.7;3.5;1
1682;From 25 to 34 years;Türkiye;Females;Fourth quintile;1.6;85.8;12.6;1
1683;From 25 to 34 years;Türkiye;Females;Second quintile;0.3;94.5;5.2;1
1684;From 25 to 34 years;Türkiye;Females;Third quintile;0.5;90.9;8.5;1
1690;From 25 to 34 years;Türkiye;Males;Fifth quintile;11.799999999999999;60.0;28.200000000000003;1
1691;From 25 to 34 years;Türkiye;Males;First quintile;3.9000000000000004;77.7;18.6;1
1692;From 25 to 34 years;Türkiye;Males;Fourth quintile;7.6000000000000005;65.8;26.7;1
1693;From 25 to 34 years;Türkiye;Males;Second quintile;3.4;74.6;22.1;1
1694;From 25 to 34 years;Türkiye;Males;Third quintile;7.1;67.2;25.7;1
1700;From 25 to 34 years;United Kingdom;Females;Fifth quintile;51.800000000000004;8.0;40.1;0
1701;From 25 to 34 years;United Kingdom;Females;First quintile;25.0;35.3;39.8;2
1702;From 25 to 34 years;United Kingdom;Females;Fourth quintile;43.199999999999996;10.2;46.6;0
1703;From 25 to 34 years;United Kingdom;Females;Second quintile;25.1;22.2;52.599999999999994;3
1704;From 25 to 34 years;United Kingdom;Females;Third quintile;41.6;23.0;35.4;0
1705;From 25 to 34 years;United Kingdom;Males;Fifth quintile;69.3;3.1;27.6;0
1706;From 25 to 34 years;United Kingdom;Males;First quintile;26.299999999999997;28.7;44.900000000000006;2
1707;From 25 to 34 years;United Kingdom;Males;Fourth quintile;58.199999999999996;5.3;36.5;0
1708;From 25 to 34 years;United Kingdom;Males;Second quintile;47.199999999999996;15.2;37.6;0
1709;From 25 to 34 years;United Kingdom;Males;Third quintile;58.8;7.7;33.5;0
1710;From 35 to 44 years;Austria;Females;Fifth quintile;33.7;9.9;56.4;3
1711;From 35 to 44 years;Austria;Females;First quintile;17.099999999999998;22.4;60.4;3
1712;From 35 to 44 years;Austria;Females;Fourth quintile;26.7;11.2;62.099999999999994;3
1713;From 35 to 44 years;Austria;Females;Second quintile;12.7;23.0;64.2;3
1714;From 35 to 44 years;Austria;Females;Third quintile;20.2;14.5;65.2;3
1720;From 35 to 44 years;Austria;Males;Fifth quintile;50.6;6.1;43.4;0
1721;From 35 to 44 years;Austria;Males;First quintile;39.099999999999994;23.8;37.0;0
1722;From 35 to 44 years;Austria;Males;Fourth quintile;51.5;6.5;42.0;0
1723;From 35 to 44 years;Austria;Males;Second quintile;40.5;23.8;35.7;0
1724;From 35 to 44 years;Austria;Males;Third quintile;56.8;6.4;36.8;0
1730;From 35 to 44 years;Belgium;Females;Fifth quintile;51.9;12.4;35.8;0
1731;From 35 to 44 years;Belgium;Females;First quintile;29.799999999999997;42.4;27.700000000000003;2
1732;From 35 to 44 years;Belgium;Females;Fourth quintile;51.8;13.7;34.5;0
1733;From 35 to 44 years;Belgium;Females;Second quintile;37.3;19.4;43.2;3
1734;From 35 to 44 years;Belgium;Females;Third quintile;39.1;21.7;39.3;0
1740;From 35 to 44 years;Belgium;Males;Fifth quintile;74.8;3.9;21.3;0
1741;From 35 to 44 years;Belgium;Males;First quintile;53.2;31.5;15.2;0
1742;From 35 to 44 years;Belgium;Males;Fourth quintile;72.8;4.7;22.5;0
1743;From 35 to 44 years;Belgium;Males;Second quintile;54.2;27.6;18.2;0
1744;From 35 to 44 years;Belgium;Males;Third quintile;70.0;9.6;20.3;0
1750;From 35 to 44 years;Bulgaria;Females;Fifth quintile;21.299999999999997;33.5;45.2;2
1751;From 35 to 44 years;Bulgaria;Females;First quintile;18.2;36.9;44.900000000000006;2
1752;From 35 to 44 years;Bulgaria;Females;Fourth quintile;19.7;24.1;56.2;3
1753;From 35 to 44 years;Bulgaria;Females;Second quintile;18.4;37.9;43.8;2
1754;From 35 to 44 years;Bulgaria;Females;Third quintile;20.6;26.5;52.9;3
1760;From 35 to 44 years;Bulgaria;Males;Fifth quintile;35.3;15.3;49.5;3
1761;From 35 to 44 years;Bulgaria;Males;First quintile;54.2;21.0;24.7;0
1762;From 35 to 44 years;Bulgaria;Males;Fourth quintile;54.5;17.7;27.8;0
1763;From 35 to 44 years;Bulgaria;Males;Second quintile;49.599999999999994;4.8;45.6;0
1764;From 35 to 44 years;Bulgaria;Males;Third quintile;48.1;10.9;41.0;0
1770;From 35 to 44 years;Croatia;Females;Fifth quintile;23.0;47.1;29.9;2
1771;From 35 to 44 years;Croatia;Females;First quintile;5.6;72.9;21.5;1
1772;From 35 to 44 years;Croatia;Females;Fourth quintile;12.4;48.3;39.2;2
1773;From 35 to 44 years;Croatia;Females;Second quintile;4.9;60.4;34.6;1
1774;From 35 to 44 years;Croatia;Females;Third quintile;12.7;52.4;34.9;2
1780;From 35 to 44 years;Croatia;Males;Fifth quintile;57.1;14.4;28.5;0
1781;From 35 to 44 years;Croatia;Males;First quintile;41.6;44.6;13.9;2
1782;From 35 to 44 years;Croatia;Males;Fourth quintile;43.2;32.2;24.7;0
1783;From 35 to 44 years;Croatia;Males;Second quintile;39.7;28.4;31.9;0
1784;From 35 to 44 years;Croatia;Males;Third quintile;30.1;27.8;42.099999999999994;2
1790;From 35 to 44 years;Cyprus;Females;Fifth quintile;11.6;49.9;38.6;2
1791;From 35 to 44 years;Cyprus;Females;First quintile;4.0;81.1;14.899999999999999;1
1792;From 35 to 44 years;Cyprus;Females;Fourth quintile;10.5;59.6;29.8;1
1793;From 35 to 44 years;Cyprus;Females;Second quintile;2.7;62.0;35.3;1
1794;From 35 to 44 years;Cyprus;Females;Third quintile;13.1;51.7;35.2;2
1800;From 35 to 44 years;Cyprus;Males;Fifth quintile;34.6;17.3;48.1;3
1801;From 35 to 44 years;Cyprus;Males;First quintile;42.7;21.5;35.9;0
1802;From 35 to 44 years;Cyprus;Males;Fourth quintile;34.7;20.1;45.2;3
1803;From 35 to 44 years;Cyprus;Males;Second quintile;29.4;28.3;42.4;2
1804;From 35 to 44 years;Cyprus;Males;Third quintile;34.9;19.4;45.6;3
1810;From 35 to 44 years;Czechia;Females;Fifth quintile;44.900000000000006;6.3;48.8;0
1811;From 35 to 44 years;Czechia;Females;First quintile;24.5;21.9;53.5;3
1812;From 35 to 44 years;Czechia;Females;Fourth quintile;35.8;11.7;52.5;3
1813;From 35 to 44 years;Czechia;Females;Second quintile;31.099999999999998;16.6;52.3;3
1814;From 35 to 44 years;Czechia;Females;Third quintile;27.599999999999998;13.2;59.3;3
1820;From 35 to 44 years;Czechia;Males;Fifth quintile;60.5;3.5;36.0;0
1821;From 35 to 44 years;Czechia;Males;First quintile;61.8;10.7;27.400000000000002;0
1822;From 35 to 44 years;Czechia;Males;Fourth quintile;65.2;2.0;32.9;0
1823;From 35 to 44 years;Czechia;Males;Second quintile;54.3;6.3;39.3;0
1824;From 35 to 44 years;Czechia;Males;Third quintile;70.6;5.0;24.4;0
1830;From 35 to 44 years;Denmark;Females;Fifth quintile;42.7;2.9;54.4;3
1831;From 35 to 44 years;Denmark;Females;First quintile;17.700000000000003;29.4;53.0;3
1832;From 35 to 44 years;Denmark;Females;Fourth quintile;35.2;7.6;57.2;3
1833;From 35 to 44 years;Denmark;Females;Second quintile;44.4;6.7;48.900000000000006;0
1834;From 35 to 44 years;Denmark;Females;Third quintile;27.3;9.1;63.7;3
1840;From 35 to 44 years;Denmark;Males;Fifth quintile;67.4;1.1;31.5;0
1841;From 35 to 44 years;Denmark;Males;First quintile;57.2;4.8;38.1;0
1842;From 35 to 44 years;Denmark;Males;Fourth quintile;54.599999999999994;2.5;42.9;0
1844;From 35 to 44 years;Denmark;Males;Third quintile;47.8;5.8;46.4;0
1850;From 35 to 44 years;Estonia;Females;Fifth quintile;17.3;10.0;72.7;3
1851;From 35 to 44 years;Estonia;Females;First quintile;14.299999999999999;17.6;68.2;3
1852;From 35 to 44 years;Estonia;Females;Fourth quintile;22.0;7.2;70.8;3
1853;From 35 to 44 years;Estonia;Females;Second quintile;13.0;8.5;78.5;3
1854;From 35 to 44 years;Estonia;Females;Third quintile;12.3;11.4;76.19999999999999;3
1860;From 35 to 44 years;Estonia;Males;Fifth quintile;54.199999999999996;1.9;43.9;0
1861;From 35 to 44 years;Estonia;Males;First quintile;34.4;10.7;54.9;3
1862;From 35 to 44 years;Estonia;Males;Fourth quintile;42.5;5.4;52.0;3
1863;From 35 to 44 years;Estonia;Males;Second quintile;40.7;17.6;41.7;0
1864;From 35 to 44 years;Estonia;Males;Third quintile;30.700000000000003;19.1;50.3;3
1870;From 35 to 44 years;Finland;Females;Fifth quintile;49.1;4.3;46.599999999999994;0
1871;From 35 to 44 years;Finland;Females;First quintile;29.7;6.8;63.4;3
1872;From 35 to 44 years;Finland;Females;Fourth quintile;35.1;5.1;59.8;3
1873;From 35 to 44 years;Finland;Females;Second quintile;27.3;8.4;64.19999999999999;3
1874;From 35 to 44 years;Finland;Females;Third quintile;27.7;9.5;62.8;3
1875;From 35 to 44 years;Finland;Males;Fifth quintile;68.6;5.1;26.2;0
1876;From 35 to 44 years;Finland;Males;First quintile;40.800000000000004;25.4;33.9;0
1877;From 35 to 44 years;Finland;Males;Fourth quintile;68.1;3.0;28.9;0
1878;From 35 to 44 years;Finland;Males;Second quintile;48.9;17.1;34.0;0
1879;From 35 to 44 years;Finland;Males;Third quintile;51.0;8.9;40.099999999999994;0
1890;From 35 to 44 years;Germany;Females;Fifth quintile;46.5;8.6;44.900000000000006;0
1891;From 35 to 44 years;Germany;Females;First quintile;31.1;21.4;47.5;3
1892;From 35 to 44 years;Germany;Females;Fourth quintile;37.800000000000004;12.7;49.5;3
1893;From 35 to 44 years;Germany;Females;Second quintile;30.6;18.1;51.4;3
1894;From 35 to 44 years;Germany;Females;Third quintile;32.5;14.2;53.3;3
1900;From 35 to 44 years;Germany;Males;Fifth quintile;66.3;5.4;28.2;0
1901;From 35 to 44 years;Germany;Males;First quintile;47.699999999999996;18.4;33.9;0
1902;From 35 to 44 years;Germany;Males;Fourth quintile;56.6;7.0;36.4;0
1903;From 35 to 44 years;Germany;Males;Second quintile;45.7;11.0;43.3;0
1904;From 35 to 44 years;Germany;Males;Third quintile;58.0;6.5;35.5;0
1910;From 35 to 44 years;Greece;Females;Fifth quintile;36.0;18.5;45.5;3
1911;From 35 to 44 years;Greece;Females;First quintile;15.799999999999999;40.2;44.0;2
1912;From 35 to 44 years;Greece;Females;Fourth quintile;22.599999999999998;22.6;54.900000000000006;3
1913;From 35 to 44 years;Greece;Females;Second quintile;22.8;28.9;48.3;2
1914;From 35 to 44 years;Greece;Females;Third quintile;17.400000000000002;30.7;52.0;2
1920;From 35 to 44 years;Greece;Males;Fifth quintile;45.9;13.2;40.9;0
1921;From 35 to 44 years;Greece;Males;First quintile;46.3;27.3;26.4;0
1922;From 35 to 44 years;Greece;Males;Fourth quintile;39.3;13.0;47.6;3
1923;From 35 to 44 years;Greece;Males;Second quintile;45.5;19.3;35.1;0
1924;From 35 to 44 years;Greece;Males;Third quintile;30.299999999999997;30.8;39.0;2
1930;From 35 to 44 years;Hungary;Females;Fifth quintile;12.100000000000001;28.8;59.199999999999996;3
1931;From 35 to 44 years;Hungary;Females;First quintile;6.3;47.9;45.7;2
1932;From 35 to 44 years;Hungary;Females;Fourth quintile;9.7;35.8;54.5;2
1933;From 35 to 44 years;Hungary;Females;Second quintile;4.7;39.6;55.7;2
1934;From 35 to 44 years;Hungary;Females;Third quintile;8.8;34.3;56.9;2
1940;From 35 to 44 years;Hungary;Males;Fifth quintile;31.6;15.7;52.7;3
1941;From 35 to 44 years;Hungary;Males;First quintile;34.7;24.9;40.5;2
1942;From 35 to 44 years;Hungary;Males;Fourth quintile;35.5;14.3;50.2;3
1943;From 35 to 44 years;Hungary;Males;Second quintile;26.1;22.4;51.5;3
1944;From 35 to 44 years;Hungary;Males;Third quintile;38.5;20.8;40.6;0
1950;From 35 to 44 years;Iceland;Females;Fifth quintile;22.9;2.0;75.1;3
1951;From 35 to 44 years;Iceland;Females;First quintile;8.1;19.4;72.5;3
1952;From 35 to 44 years;Iceland;Females;Fourth quintile;17.0;4.7;78.30000000000001;3
1953;From 35 to 44 years;Iceland;Females;Second quintile;15.799999999999999;15.5;68.69999999999999;3
1954;From 35 to 44 years;Iceland;Females;Third quintile;12.5;5.7;81.9;3
1960;From 35 to 44 years;Iceland;Males;Fifth quintile;25.4;14.2;60.4;3
1961;From 35 to 44 years;Iceland;Males;First quintile;21.4;6.7;72.0;3
1962;From 35 to 44 years;Iceland;Males;Fourth quintile;28.7;13.0;58.3;3
1963;From 35 to 44 years;Iceland;Males;Second quintile;26.1;11.2;62.7;3
1964;From 35 to 44 years;Iceland;Males;Third quintile;21.0;16.4;62.6;3
1970;From 35 to 44 years;Ireland;Females;Fifth quintile;48.3;9.9;41.9;0
1971;From 35 to 44 years;Ireland;Females;First quintile;37.6;11.2;51.199999999999996;3
1972;From 35 to 44 years;Ireland;Females;Fourth quintile;47.800000000000004;14.7;37.5;0
1973;From 35 to 44 years;Ireland;Females;Second quintile;32.4;17.3;50.3;3
1974;From 35 to 44 years;Ireland;Females;Third quintile;37.8;11.6;50.7;3
1980;From 35 to 44 years;Ireland;Males;Fifth quintile;55.0;8.4;36.6;0
1981;From 35 to 44 years;Ireland;Males;First quintile;54.2;8.5;37.4;0
1982;From 35 to 44 years;Ireland;Males;Fourth quintile;49.3;8.2;42.5;0
1983;From 35 to 44 years;Ireland;Males;Second quintile;45.800000000000004;9.3;44.900000000000006;0
1984;From 35 to 44 years;Ireland;Males;Third quintile;47.0;13.7;39.3;0
1990;From 35 to 44 years;Latvia;Females;Fifth quintile;17.0;11.8;71.3;3
1991;From 35 to 44 years;Latvia;Females;First quintile;15.8;14.6;69.69999999999999;3
1992;From 35 to 44 years;Latvia;Females;Fourth quintile;18.2;7.9;73.9;3
1993;From 35 to 44 years;Latvia;Females;Second quintile;5.7;13.7;80.5;3
1994;From 35 to 44 years;Latvia;Females;Third quintile;12.0;14.1;73.9;3
2000;From 35 to 44 years;Latvia;Males;Fifth quintile;33.1;8.5;58.4;3
2001;From 35 to 44 years;Latvia;Males;First quintile;28.200000000000003;8.4;63.5;3
2002;From 35 to 44 years;Latvia;Males;Fourth quintile;24.0;15.7;60.3;3
2003;From 35 to 44 years;Latvia;Males;Second quintile;24.3;23.4;52.3;3
2004;From 35 to 44 years;Latvia;Males;Third quintile;34.800000000000004;9.5;55.8;3
2010;From 35 to 44 years;Lithuania;Females;Fifth quintile;15.5;8.3;76.1;3
2011;From 35 to 44 years;Lithuania;Females;First quintile;4.2;19.7;76.1;3
2012;From 35 to 44 years;Lithuania;Females;Fourth quintile;7.3;12.2;80.5;3
2013;From 35 to 44 years;Lithuania;Females;Second quintile;10.0;18.5;71.6;3
2014;From 35 to 44 years;Lithuania;Females;Third quintile;8.3;16.0;75.7;3
2020;From 35 to 44 years;Lithuania;Males;Fifth quintile;27.400000000000002;5.2;67.3;3
2021;From 35 to 44 years;Lithuania;Males;First quintile;39.1;7.9;52.9;3
2022;From 35 to 44 years;Lithuania;Males;Fourth quintile;35.300000000000004;7.8;56.8;3
2023;From 35 to 44 years;Lithuania;Males;Second quintile;34.4;10.5;55.1;3
2024;From 35 to 44 years;Lithuania;Males;Third quintile;18.5;14.4;67.1;3
2030;From 35 to 44 years;Luxembourg;Females;Fifth quintile;62.0;12.6;25.5;0
2031;From 35 to 44 years;Luxembourg;Females;First quintile;25.099999999999998;38.1;36.8;2
2032;From 35 to 44 years;Luxembourg;Females;Fourth quintile;46.3;11.4;42.2;0
2033;From 35 to 44 years;Luxembourg;Females;Second quintile;34.699999999999996;32.6;32.8;2
2034;From 35 to 44 years;Luxembourg;Females;Third quintile;45.8;17.9;36.3;0
2040;From 35 to 44 years;Luxembourg;Males;Fifth quintile;74.9;4.8;20.3;0
2041;From 35 to 44 years;Luxembourg;Males;First quintile;62.099999999999994;17.9;20.0;0
2042;From 35 to 44 years;Luxembourg;Males;Fourth quintile;65.4;1.4;33.2;0
2043;From 35 to 44 years;Luxembourg;Males;Second quintile;47.599999999999994;15.2;37.1;0
2044;From 35 to 44 years;Luxembourg;Males;Third quintile;57.099999999999994;6.6;36.3;0
2050;From 35 to 44 years;Malta;Females;Fifth quintile;28.8;25.2;45.9;3
2051;From 35 to 44 years;Malta;Females;First quintile;18.3;30.2;51.5;2
2052;From 35 to 44 years;Malta;Females;Fourth quintile;24.7;28.6;46.6;2
2053;From 35 to 44 years;Malta;Females;Second quintile;24.4;34.0;41.7;2
2054;From 35 to 44 years;Malta;Females;Third quintile;22.4;24.2;53.3;3
2060;From 35 to 44 years;Malta;Males;Fifth quintile;44.900000000000006;7.3;47.9;0
2062;From 35 to 44 years;Malta;Males;Fourth quintile;43.5;14.1;42.400000000000006;0
2063;From 35 to 44 years;Malta;Males;Second quintile;54.400000000000006;9.8;35.8;0
2064;From 35 to 44 years;Malta;Males;Third quintile;44.0;12.3;43.6;0
2080;From 35 to 44 years;Norway;Females;Fifth quintile;31.0;11.0;58.0;3
2081;From 35 to 44 years;Norway;Females;First quintile;18.9;39.8;41.3;2
2082;From 35 to 44 years;Norway;Females;Fourth quintile;22.700000000000003;11.7;65.7;3
2083;From 35 to 44 years;Norway;Females;Second quintile;21.900000000000002;25.1;53.1;3
2084;From 35 to 44 years;Norway;Females;Third quintile;26.8;19.9;53.3;3
2090;From 35 to 44 years;Norway;Males;Fifth quintile;49.0;8.9;42.1;0
2091;From 35 to 44 years;Norway;Males;First quintile;24.599999999999998;28.6;46.9;2
2092;From 35 to 44 years;Norway;Males;Fourth quintile;41.300000000000004;7.7;51.0;3
2093;From 35 to 44 years;Norway;Males;Second quintile;26.900000000000002;13.7;59.4;3
2094;From 35 to 44 years;Norway;Males;Third quintile;33.7;8.1;58.2;3
2100;From 35 to 44 years;Poland;Females;Fifth quintile;19.4;14.0;66.6;3
2101;From 35 to 44 years;Poland;Females;First quintile;4.6;29.8;65.6;3
2102;From 35 to 44 years;Poland;Females;Fourth quintile;12.2;19.3;68.5;3
2103;From 35 to 44 years;Poland;Females;Second quintile;7.8;26.6;65.7;3
2104;From 35 to 44 years;Poland;Females;Third quintile;10.5;24.2;65.2;3
2110;From 35 to 44 years;Poland;Males;Fifth quintile;37.5;6.9;55.5;3
2111;From 35 to 44 years;Poland;Males;First quintile;29.8;12.7;57.5;3
2112;From 35 to 44 years;Poland;Males;Fourth quintile;42.6;9.9;47.5;0
2113;From 35 to 44 years;Poland;Males;Second quintile;32.0;9.2;58.8;3
2114;From 35 to 44 years;Poland;Males;Third quintile;33.6;8.6;57.7;3
2120;From 35 to 44 years;Portugal;Females;Fifth quintile;25.8;29.7;44.5;2
2121;From 35 to 44 years;Portugal;Females;First quintile;26.4;47.3;26.3;2
2122;From 35 to 44 years;Portugal;Females;Fourth quintile;19.5;32.2;48.3;2
2123;From 35 to 44 years;Portugal;Females;Second quintile;19.700000000000003;49.7;30.7;2
2124;From 35 to 44 years;Portugal;Females;Third quintile;24.1;35.0;40.9;2
2130;From 35 to 44 years;Portugal;Males;Fifth quintile;65.80000000000001;10.4;23.9;0
2131;From 35 to 44 years;Portugal;Males;First quintile;66.0;16.9;17.1;0
2132;From 35 to 44 years;Portugal;Males;Fourth quintile;67.6;9.8;22.6;0
2133;From 35 to 44 years;Portugal;Males;Second quintile;69.0;10.7;20.299999999999997;0
2134;From 35 to 44 years;Portugal;Males;Third quintile;70.19999999999999;8.6;21.200000000000003;0
2140;From 35 to 44 years;Romania;Females;Fifth quintile;5.4;41.3;53.3;2
2141;From 35 to 44 years;Romania;Females;First quintile;8.9;48.0;43.1;2
2142;From 35 to 44 years;Romania;Females;Fourth quintile;6.0;46.7;47.4;2
2143;From 35 to 44 years;Romania;Females;Second quintile;8.6;49.7;41.8;2
2144;From 35 to 44 years;Romania;Females;Third quintile;9.2;48.7;42.2;2
2150;From 35 to 44 years;Romania;Males;Fifth quintile;28.0;20.3;51.8;3
2151;From 35 to 44 years;Romania;Males;First quintile;52.2;15.0;32.8;0
2152;From 35 to 44 years;Romania;Males;Fourth quintile;34.7;15.6;49.7;3
2153;From 35 to 44 years;Romania;Males;Second quintile;43.7;15.3;41.1;0
2154;From 35 to 44 years;Romania;Males;Third quintile;42.7;14.6;42.7;0
2170;From 35 to 44 years;Slovakia;Females;Fifth quintile;14.4;23.3;62.400000000000006;3
2171;From 35 to 44 years;Slovakia;Females;First quintile;10.6;35.5;53.900000000000006;2
2172;From 35 to 44 years;Slovakia;Females;Fourth quintile;15.5;21.9;62.6;3
2173;From 35 to 44 years;Slovakia;Females;Second quintile;7.7;29.8;62.5;3
2174;From 35 to 44 years;Slovakia;Females;Third quintile;10.700000000000001;17.7;71.6;3
2180;From 35 to 44 years;Slovakia;Males;Fifth quintile;27.2;10.3;62.5;3
2181;From 35 to 44 years;Slovakia;Males;First quintile;37.7;17.9;44.3;3
2182;From 35 to 44 years;Slovakia;Males;Fourth quintile;31.8;13.9;54.2;3
2183;From 35 to 44 years;Slovakia;Males;Second quintile;37.8;15.6;46.6;3
2184;From 35 to 44 years;Slovakia;Males;Third quintile;32.3;8.1;59.5;3
2190;From 35 to 44 years;Slovenia;Females;Fifth quintile;22.0;12.7;65.4;3
2191;From 35 to 44 years;Slovenia;Females;First quintile;12.6;34.1;53.3;2
2192;From 35 to 44 years;Slovenia;Females;Fourth quintile;19.2;12.5;68.30000000000001;3
2193;From 35 to 44 years;Slovenia;Females;Second quintile;13.4;27.7;58.8;3
2194;From 35 to 44 years;Slovenia;Females;Third quintile;24.099999999999998;22.3;53.6;3
